image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
1045.png,PruneSID,336,336,76,71,5450.0,34602.0,13916,26136,0.15750534651176232,0.20852464034282217
1046.png,DRIP,336,336,50,73,5099.0,38654.0,14308,29445,0.1319139028302375,0.17317031754117848
1046.png,Fixed,336,336,50,72,4520.0,39037.0,14112,29445,0.11578758613622973,0.15350653761249788
1046.png,PruneSID,336,336,50,71,7127.0,36234.0,13916,29445,0.19669371308715572,0.24204448972660894
1047.png,DRIP,336,336,17,72,1318.0,31115.0,14112,18321,0.04235899084043066,0.07193930462311009
1047.png,Fixed,336,336,17,72,2615.0,29818.0,14112,18321,0.08769870547991146,0.1427323836035151
1047.png,PruneSID,336,336,17,71,2771.0,29466.0,13916,18321,0.09404058915360076,0.15124720266361005
1048.png,DRIP,336,336,20,73,2954.0,27397.0,14308,16043,0.10782202430923093,0.18413015022128032
1048.png,Fixed,336,336,20,72,1728.0,28427.0,14112,16043,0.06078727969887783,0.10771052795611794
1048.png,PruneSID,336,336,20,71,6104.0,23855.0,13916,16043,0.25587927059316706,0.38047746680795363
1049.png,DRIP,336,336,6,72,1136.0,17867.0,14112,4891,0.06358090334135558,0.2322633408300961
1049.png,Fixed,336,336,6,72,436.0,18567.0,14112,4891,0.023482522755426293,0.0891433244735228
1049.png,PruneSID,336,336,6,71,2298.0,16509.0,13916,4891,0.139196801744503,0.46984256798200774
105.png,DRIP,336,336,34,72,3930.0,33885.0,14112,23703,0.11598052235502435,0.1658017972408556
105.png,Fixed,336,336,34,72,2406.0,35409.0,14112,23703,0.06794882656951623,0.10150613846348563
105.png,PruneSID,336,336,34,71,5199.0,32420.0,13916,23703,0.16036397285626156,0.2193393241361853
1050.png,DRIP,336,336,7,72,4239.0,22026.0,14112,12153,0.19245437210569327,0.3488027647494446
1050.png,Fixed,336,336,7,72,1399.0,24866.0,14112,12153,0.05626156197217084,0.11511560931457253
1050.png,PruneSID,336,336,7,71,1710.0,24359.0,13916,12153,0.07019992610534094,0.14070599851888424
1051.png,DRIP,336,336,68,73,4014.0,47295.0,14308,37001,0.08487155090390104,0.10848355449852706
1051.png,Fixed,336,336,68,72,4830.0,46283.0,14112,37001,0.10435797160944624,0.13053701251317532
1051.png,PruneSID,336,336,68,71,7734.0,43183.0,13916,37001,0.17909825625824977,0.20902137780059998
1052.png,DRIP,336,336,68,73,4014.0,47295.0,14308,37001,0.08487155090390104,0.10848355449852706
1052.png,Fixed,336,336,68,72,4830.0,46283.0,14112,37001,0.10435797160944624,0.13053701251317532
1052.png,PruneSID,336,336,68,71,7477.0,43440.0,13916,37001,0.17212246777163903,0.20207561957784925
1053.png,DRIP,336,336,8,72,899.0,20451.0,14112,7238,0.043958730624419344,0.12420558165239017
1053.png,Fixed,336,336,8,72,721.0,20629.0,14112,7238,0.03495079742110621,0.09961315280464217
1053.png,PruneSID,336,336,8,71,3498.0,17656.0,13916,7238,0.19811961939284095,0.48328267477203646
1054.png,DRIP,336,336,8,72,899.0,20451.0,14112,7238,0.043958730624419344,0.12420558165239017
1054.png,Fixed,336,336,8,72,721.0,20629.0,14112,7238,0.03495079742110621,0.09961315280464217
1054.png,PruneSID,336,336,8,71,4175.0,16979.0,13916,7238,0.24589198421579597,0.5768168002210555
1055.png,DRIP,336,336,29,72,1899.0,26349.0,14112,14136,0.07207104633951952,0.13433786078098472
1055.png,Fixed,336,336,29,72,1460.0,26788.0,14112,14136,0.054502015827982676,0.10328239954725524
1055.png,PruneSID,336,336,29,71,3786.0,24266.0,13916,14136,0.15602076980136817,0.26782682512733447
1056.png,DRIP,336,336,29,72,1899.0,26349.0,14112,14136,0.07207104633951952,0.13433786078098472
1056.png,Fixed,336,336,29,72,1460.0,26788.0,14112,14136,0.054502015827982676,0.10328239954725524
1056.png,PruneSID,336,336,29,71,4144.0,23908.0,13916,14136,0.17333110255981263,0.29315223542727786
1057.png,DRIP,336,336,15,73,952.0,20593.0,14308,7237,0.04622930121886078,0.13154622080972778
1057.png,Fixed,336,336,15,72,811.0,20538.0,14112,7237,0.03948777875158243,0.11206300953433743
1057.png,PruneSID,336,336,15,71,1443.0,19710.0,13916,7237,0.07321156773211568,0.19939201326516512
1058.png,DRIP,336,336,15,73,952.0,20593.0,14308,7237,0.04622930121886078,0.13154622080972778
1058.png,Fixed,336,336,15,72,811.0,20538.0,14112,7237,0.03948777875158243,0.11206300953433743
1058.png,PruneSID,336,336,15,71,1451.0,19702.0,13916,7237,0.07364734544716273,0.20049744369213762
1059.png,DRIP,336,336,40,72,4499.0,43968.0,14112,34355,0.10232441775836973,0.13095619269393102
1059.png,Fixed,336,336,40,72,4656.0,43811.0,14112,34355,0.10627467987491726,0.1355261242904963
1059.png,PruneSID,336,336,40,71,8580.0,39691.0,13916,34355,0.21616991257463908,0.24974530636006403
