class_idx,class_name,total,correct,accuracy
231,collie,50,26,0.5199999809265137
232,Border collie,50,37,0.7400000095367432
233,Bouvier des Flandres,50,35,0.699999988079071
234,Rottweiler,50,36,0.7200000286102295
235,German shepherd,50,39,0.7799999713897705
236,Doberman,50,37,0.7400000095367432
237,miniature pinscher,50,32,0.6399999856948853
238,Greater Swiss Mountain dog,50,28,0.5600000023841858
239,Bernese mountain dog,50,45,0.8999999761581421
240,Appenzeller,50,12,0.23999999463558197
241,EntleBucher,50,30,0.6000000238418579
242,boxer,50,33,0.6600000262260437
243,bull mastiff,50,42,0.8399999737739563
244,Tibetan mastiff,50,46,0.9200000166893005
245,French bulldog,50,36,0.7200000286102295
246,Great Dane,50,27,0.5400000214576721
247,Saint Bernard,50,47,0.9399999976158142
248,Eskimo dog,50,20,0.4000000059604645
249,malamute,50,38,0.7599999904632568
250,Siberian husky,50,29,0.5799999833106995
251,dalmatian,50,47,0.9399999976158142
252,affenpinscher,50,36,0.7200000286102295
253,basenji,50,42,0.8399999737739563
254,pug,50,42,0.8399999737739563
255,Leonberg,50,48,0.9599999785423279
256,Newfoundland,50,36,0.7200000286102295
257,Great Pyrenees,50,37,0.7400000095367432
258,Samoyed,50,46,0.9200000166893005
259,Pomeranian,50,48,0.9599999785423279
260,chow,50,43,0.8600000143051147
261,keeshond,50,44,0.8799999952316284
262,Brabancon griffon,50,39,0.7799999713897705
263,Pembroke,50,41,0.8199999928474426
264,Cardigan,50,30,0.6000000238418579
265,toy poodle,50,25,0.5
266,miniature poodle,50,21,0.41999998688697815
267,standard poodle,50,43,0.8600000143051147
268,Mexican hairless,50,44,0.8799999952316284
269,timber wolf,50,37,0.7400000095367432
270,white wolf,50,41,0.8199999928474426
271,red wolf,50,25,0.5
272,coyote,50,30,0.6000000238418579
273,dingo,50,33,0.6600000262260437
274,dhole,50,45,0.8999999761581421
275,African hunting dog,50,49,0.9800000190734863
276,hyena,50,43,0.8600000143051147
277,red fox,50,31,0.6200000047683716
278,kit fox,50,34,0.6800000071525574
279,Arctic fox,50,45,0.8999999761581421
280,grey fox,50,34,0.6800000071525574
281,tabby,50,29,0.5799999833106995
282,tiger cat,50,9,0.18000000715255737
283,Persian cat,50,44,0.8799999952316284
284,Siamese cat,50,47,0.9399999976158142
285,Egyptian cat,50,22,0.4399999976158142
286,cougar,50,43,0.8600000143051147
287,lynx,50,36,0.7200000286102295
288,leopard,50,41,0.8199999928474426
289,snow leopard,50,44,0.8799999952316284
290,jaguar,50,38,0.7599999904632568
291,lion,50,49,0.9800000190734863
292,tiger,50,47,0.9399999976158142
293,cheetah,50,46,0.9200000166893005
294,brown bear,50,46,0.9200000166893005
295,American black bear,50,39,0.7799999713897705
296,ice bear,50,45,0.8999999761581421
297,sloth bear,50,36,0.7200000286102295
298,mongoose,50,36,0.7200000286102295
299,meerkat,50,39,0.7799999713897705
300,tiger beetle,50,46,0.9200000166893005
301,ladybug,50,45,0.8999999761581421
302,ground beetle,50,33,0.6600000262260437
303,long-horned beetle,50,35,0.699999988079071
