image,dataset_name,question_type,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
51,rico,APP agent en,DRIP,336,336,44,144,12468.0,46348.0,28224,30592,0.2690083714507638,0.4075575313807531
51,rico,APP agent en,Fixed,336,336,44,144,7800.0,51016.0,28224,30592,0.1528932099733417,0.2549686192468619
52,rico,APP agent en,DRIP,336,336,5,144,3481.0,28490.0,28224,3747,0.12218322218322218,0.9290098745663197
52,rico,APP agent en,Fixed,336,336,5,144,981.0,30990.0,28224,3747,0.03165537270087125,0.2618094475580464
53,rico,APP agent en,DRIP,336,336,3,144,671.0,30046.0,28224,2493,0.022332423617120414,0.2691536301644605
53,rico,APP agent en,Fixed,336,336,3,144,622.0,30095.0,28224,2493,0.020667885030736,0.2494985960689932
54,rico,APP agent en,DRIP,336,336,30,144,6935.0,49396.0,28224,28107,0.14039598348044377,0.24673568861849363
54,rico,APP agent en,Fixed,336,336,30,144,6598.0,49733.0,28224,28107,0.13266844952043916,0.23474579286298786
55,rico,APP agent en,DRIP,336,336,3,144,1011.0,29939.0,28224,2726,0.03376866294799426,0.37087307410124726
55,rico,APP agent en,Fixed,336,336,3,144,760.0,30190.0,28224,2726,0.025173898641934415,0.27879677182685253
56,rico,APP agent en,DRIP,336,336,19,144,4168.0,41150.0,28224,17094,0.10128797083839611,0.24382824382824383
56,rico,APP agent en,Fixed,336,336,19,144,4381.0,40937.0,28224,17094,0.10701810098443951,0.2562887562887563
57,rico,APP agent en,DRIP,336,336,36,144,4951.0,42632.0,28224,19359,0.11613342090448489,0.25574668113022364
57,rico,APP agent en,Fixed,336,336,36,144,4593.0,42990.0,28224,19359,0.10683879972086532,0.2372539903920657
58,rico,APP agent en,DRIP,336,336,50,144,11444.0,50144.0,28224,33364,0.2282227185705169,0.3430044359189546
58,rico,APP agent en,Fixed,336,336,50,144,8411.0,53177.0,28224,33364,0.15816988547680388,0.25209806977580623
59,rico,APP agent en,DRIP,336,336,15,144,5966.0,32071.0,28224,9813,0.18602475756914347,0.607969020686844
59,rico,APP agent en,Fixed,336,336,15,144,2466.0,35571.0,28224,9813,0.06932613645947541,0.25129929685111585
60,rico,APP agent en,DRIP,336,336,48,144,10180.0,45286.0,28224,27242,0.2247935344256503,0.3736876881286249
60,rico,APP agent en,Fixed,336,336,48,144,7043.0,48423.0,28224,27242,0.14544741135410857,0.2585346156669848
61,rico,APP agent en,DRIP,336,336,9,144,2236.0,33355.0,28224,7367,0.06703642632289013,0.30351567802361884
61,rico,APP agent en,Fixed,336,336,9,144,1923.0,33668.0,28224,7367,0.057116549839610314,0.2610289127188815
62,rico,APP agent en,DRIP,336,336,19,144,6745.0,37529.0,28224,16050,0.1797276772629167,0.42024922118380065
62,rico,APP agent en,Fixed,336,336,19,144,3684.0,40590.0,28224,16050,0.09076127124907613,0.22953271028037384
63,rico,APP agent en,DRIP,336,336,0,144,,,28224,0,,
